[2026-03-03 23:25:40,925] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_034.jpg, lines=1
[2026-03-03 23:25:40,926] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165292660050:E2E-202603032315 (chars=1010)
[2026-03-03 23:25:44,512] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_000.jpg, lines=0
[2026-03-03 23:25:47,700] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_001.jpg, lines=1
[2026-03-03 23:25:50,945] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_004.jpg, lines=2
[2026-03-03 23:25:54,017] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_007.jpg, lines=0
[2026-03-03 23:25:57,231] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_012.jpg, lines=2
[2026-03-03 23:26:00,627] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_016.jpg, lines=4
[2026-03-03 23:26:03,740] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_018.jpg, lines=0
[2026-03-03 23:26:06,847] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_020.jpg, lines=0
[2026-03-03 23:26:09,940] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_022.jpg, lines=0
[2026-03-03 23:26:13,207] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_024.jpg, lines=2
[2026-03-03 23:26:16,638] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_027.jpg, lines=1
[2026-03-03 23:26:19,895] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_028.jpg, lines=2
[2026-03-03 23:26:23,064] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_029.jpg, lines=1
[2026-03-03 23:26:26,301] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_030.jpg, lines=2
[2026-03-03 23:26:29,466] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_031.jpg, lines=1
[2026-03-03 23:26:32,678] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_034.jpg, lines=2
[2026-03-03 23:26:35,724] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_036.jpg, lines=0
[2026-03-03 23:26:38,856] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_037.jpg, lines=1
[2026-03-03 23:26:41,986] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_038.jpg, lines=1
[2026-03-03 23:26:41,988] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165057709601:E2E-202603032315 (chars=117)
[2026-03-03 23:26:44,541] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_000.jpg, lines=3
[2026-03-03 23:26:47,067] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_001.jpg, lines=3
[2026-03-03 23:26:49,656] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_002.jpg, lines=4
[2026-03-03 23:26:52,204] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_003.jpg, lines=3
[2026-03-03 23:26:54,609] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_005.jpg, lines=1
[2026-03-03 23:26:57,170] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_006.jpg, lines=2
[2026-03-03 23:26:59,568] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_008.jpg, lines=1
[2026-03-03 23:27:01,986] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_010.jpg, lines=1
[2026-03-03 23:27:04,531] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_011.jpg, lines=3
[2026-03-03 23:27:06,935] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_012.jpg, lines=1
[2026-03-03 23:27:09,676] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_013.jpg, lines=4
[2026-03-03 23:27:12,558] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_015.jpg, lines=6
[2026-03-03 23:27:15,463] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_023.jpg, lines=6
[2026-03-03 23:27:18,026] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165040999394/frame_025.jpg, lines=3
[2026-03-03 23:27:18,027] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165040999394:E2E-202603032315 (chars=282)
[2026-03-03 23:27:20,491] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164957051743/frame_000.jpg, lines=3
[2026-03-03 23:27:22,842] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164957051743/frame_020.jpg, lines=0
[2026-03-03 23:27:28,077] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164957051743/frame_021.jpg, lines=28
[2026-03-03 23:27:28,078] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164957051743:E2E-202603032315 (chars=306)
[2026-03-03 23:27:34,867] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_000.jpg, lines=23
[2026-03-03 23:27:38,059] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_010.jpg, lines=0
[2026-03-03 23:27:44,171] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_011.jpg, lines=21
[2026-03-03 23:27:47,412] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_020.jpg, lines=1
[2026-03-03 23:27:50,572] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_021.jpg, lines=0
[2026-03-03 23:27:53,751] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_030.jpg, lines=0
[2026-03-03 23:27:56,911] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873165742/frame_031.jpg, lines=0
